patternlen,textlen,cmp,timetaken
15,845,129,2000
11,873,135,2000
18,903,121,1000
23,933,156,1000
24,962,147,1000
13,989,180,2000
23,1016,122,1000
22,1044,141,1000
11,1071,186,2000
20,1099,135,2000
15,1128,167,1000
15,1157,170,2000
13,1187,185,2000
25,1217,177,2000
21,1245,196,1000
15,1275,201,2000
31,1304,161,1000
23,1332,164,1000
15,1361,193,2000
17,1390,208,2000
16,1420,177,2000
7,1450,308,3000
10,1478,247,2000
29,1504,191,2000
17,1533,223,2000
19,1560,201,2000
12,1587,283,2000
11,1616,244,3000
13,1645,302,3000
24,1675,258,2000
