patternlen,textlen,cmp,timetaken
15,845,131,3000
11,873,135,2000
18,903,111,1000
23,933,170,2000
24,962,174,1000
13,989,178,2000
23,1016,129,1000
22,1044,139,1000
11,1071,195,2000
20,1099,131,1000
15,1128,152,1000
15,1157,165,1000
13,1187,185,1000
25,1217,173,1000
21,1245,215,2000
15,1275,179,2000
31,1304,194,1000
23,1332,177,1000
15,1361,186,1000
17,1390,209,1000
16,1420,224,1000
7,1450,306,2000
10,1478,272,2000
29,1504,204,1000
17,1533,224,2000
19,1560,220,2000
12,1587,305,3000
11,1616,251,2000
13,1645,305,18000
24,1675,305,2000
